fid,id,left,top,right,bottom,¼ö¿Â
"432",9798,127.4,34.575,127.425,34.55,26.86703
"433",13904,127.975,34.85,128,34.825,26.912568
"434",13904,127.975,34.85,128,34.825,26.854271
"435",13904,127.975,34.85,128,34.825,26.742251
"436",13904,127.975,34.85,128,34.825,27.315165
"437",13904,127.975,34.85,128,34.825,27.131688
"438",13904,127.975,34.85,128,34.825,26.885757
"439",13904,127.975,34.85,128,34.825,27.752839
"440",13904,127.975,34.85,128,34.825,27.406514
"441",13904,127.975,34.85,128,34.825,27.017941
"442",9797,127.4,34.6,127.425,34.575,26.963642
"443",9797,127.4,34.6,127.425,34.575,26.960159
"444",9797,127.4,34.6,127.425,34.575,26.955656
"445",9797,127.4,34.6,127.425,34.575,26.950135
"446",9797,127.4,34.6,127.425,34.575,26.944261
"447",9797,127.4,34.6,127.425,34.575,26.940801
"448",9797,127.4,34.6,127.425,34.575,26.936413
"449",9797,127.4,34.6,127.425,34.575,26.9311
"450",9797,127.4,34.6,127.425,34.575,26.926216
"451",9797,127.4,34.6,127.425,34.575,26.922783
"452",9797,127.4,34.6,127.425,34.575,26.918504
"453",9797,127.4,34.6,127.425,34.575,26.913382
"454",3667,126.55,35.7,126.575,35.675,27.123357
"455",3667,126.55,35.7,126.575,35.675,27.136499
"456",3667,126.55,35.7,126.575,35.675,27.145439
"457",3667,126.55,35.7,126.575,35.675,27.148341
"458",3667,126.55,35.7,126.575,35.675,27.124237
"459",3667,126.55,35.7,126.575,35.675,27.129111
"460",3667,126.55,35.7,126.575,35.675,27.129425
"461",3667,126.55,35.7,126.575,35.675,27.129745
"462",3667,126.55,35.7,126.575,35.675,27.126298
"463",3667,126.55,35.7,126.575,35.675,27.127419
"464",3667,126.55,35.7,126.575,35.675,27.12379
"465",3667,126.55,35.7,126.575,35.675,27.123258
"466",3666,126.55,35.725,126.575,35.7,27.121333
"467",3666,126.55,35.725,126.575,35.7,27.186429
"468",3666,126.55,35.725,126.575,35.7,27.255758
"469",3666,126.55,35.725,126.575,35.7,27.263279
"470",3666,126.55,35.725,126.575,35.7,27.123554
"471",3666,126.55,35.725,126.575,35.7,27.178652
"472",3666,126.55,35.725,126.575,35.7,27.236019
"473",3666,126.55,35.725,126.575,35.7,27.244084
"474",3666,126.55,35.725,126.575,35.7,27.123509
"475",3666,126.55,35.725,126.575,35.7,27.153851
"476",3666,126.55,35.725,126.575,35.7,27.181218
"477",3666,126.55,35.725,126.575,35.7,27.187772
"478",3666,126.55,35.725,126.575,35.7,27.123357
"479",3666,126.55,35.725,126.575,35.7,27.136499
"480",3666,126.55,35.725,126.575,35.7,27.145439
"481",3666,126.55,35.725,126.575,35.7,27.148341
"482",9793,127.4,34.7,127.425,34.675,27.270541
"483",9793,127.4,34.7,127.425,34.675,27.266907
"484",9793,127.4,34.7,127.425,34.675,27.260172
"485",9793,127.4,34.7,127.425,34.675,27.250427
"486",9793,127.4,34.7,127.425,34.675,27.226795
"487",9793,127.4,34.7,127.425,34.675,27.223218
"488",9793,127.4,34.7,127.425,34.675,27.216904
"489",9793,127.4,34.7,127.425,34.675,27.20792
"490",9793,127.4,34.7,127.425,34.675,27.186838
"491",9793,127.4,34.7,127.425,34.675,27.18329
"492",9793,127.4,34.7,127.425,34.675,27.177318
"493",9793,127.4,34.7,127.425,34.675,27.168972
"494",9792,127.4,34.725,127.425,34.7,27.429507
