°ÝÀÚ¹øÈ£,¿°ºÐ¿©ºÎ,Æò±Õ¿°ºÐ,¼ö¿Â¿©ºÎ,Æò±Õ¼ö¿Â
GR3_F4H24_E,N,0.0,N,0.0
GR3_G3E13_A,N,0.0,N,0.0
GR3_G3E13_B,Y,32.924516129032256,N,0.0
GR3_G3E23_B,Y,33.49509677419355,N,0.0
GR3_G3E23_C,N,0.0,N,0.0
GR3_F4G14_F,Y,31.29703225806451,N,0.0
GR3_F4G14_G,Y,31.539838709677422,N,0.0
GR3_F4G14_H,Y,31.815322580645162,N,0.0
GR3_F4H13_G,Y,32.40767741935483,N,0.0
GR3_F4H13_H,Y,32.39632258064516,N,0.0
GR3_F4H13_I,Y,32.38503225806451,N,0.0
GR3_F4H13_J,Y,32.373612903225805,N,0.0
GR3_F4H14_F,Y,32.36245161290323,N,0.0
GR3_F4H14_G,Y,32.3511935483871,N,0.0
GR3_F4H14_I,Y,32.328419354838715,N,0.0
GR3_F4H14_J,Y,32.31716129032258,N,0.0
GR3_F4H23_G,N,0.0,N,0.0
GR3_F4H23_H,Y,32.283258064516126,N,0.0
GR3_F4H23_J,Y,32.260516129032254,N,0.0
GR3_F4H24_F,Y,32.25322580645162,N,0.0
GR3_F4H24_G,Y,32.300064516129034,N,0.0
GR3_F4G14_K,Y,31.095999999999997,N,0.0
GR3_F4G24_K,N,0.0,N,0.0
GR3_F4G24_O,N,0.0,N,0.0
GR3_F4H13_K,N,0.0,N,0.0
GR3_F4H13_L,Y,32.591193548387096,N,0.0
